ISRC,Partner Tack ID,date,category,dimension,streams,listeners
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,AD,46,39
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,AE,2527,1954
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,AR,7742,5991
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,AT,2829,2197
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,AU,65432,49248
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,BE,4926,3848
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,BG,547,419
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,BH,172,124
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,BO,727,479
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,BR,22088,17522
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CA,46093,33751
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CH,4608,3505
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CL,5237,3994
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CO,2427,2015
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CR,1083,873
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CY,279,204
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,CZ,2840,2053
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,DE,28753,21908
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,DK,6450,4796
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,DO,727,515
PLS281900472,4a6q8CR2hzLk2plDkSxkfD,11/15/2019,country,DZ,425,342
